Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:47.524000,0 days 01:57:13.616000,2972.4036727637476,230.77249792,10849.57016064,5,100.0,False,0,9863.0,11942.0,1924.0
0 days 00:00:47.531000,0 days 01:57:13.623000,2972.855,231.0,10832.0,6,100.0,False,0,9859.765346185219,11940.237986783908,1924.0237632053968
0 days 00:00:47.691000,0 days 01:57:13.783000,2983.210555555556,233.0,10964.0,6,100.0,False,0,9768.066341890737,11890.261487236603,1924.7972635485387
0 days 00:00:47.764000,0 days 01:57:13.856000,2988.076727458718,236.3458304,11020.270784,6,100.0,False,0,9725.0,11867.0,1925.0
0 days 00:00:47.864000,0 days 01:57:13.956000,2994.8928020851545,240.92916373333333,11097.354117333334,6,100.0,False,0,9667.0,11836.0,1925.0
0 days 00:00:47.931000,0 days 01:57:14.023000,2999.4772222222223,244.0,11149.0,6,100.0,False,0,9616.577145655543,11809.055325268602,1924.9938116127587
0 days 00:00:48.091000,0 days 01:57:14.183000,3010.4550000000004,247.0,11362.0,6,100.0,False,0,9457.218014723096,11723.71141242996,1925.052938504597
0 days 00:00:48.203000,0 days 01:57:14.295000,3018.232141184305,249.0,11432.8,6,100.0,False,0,9356.0,11669.0,1925.0
0 days 00:00:48.371000,0 days 01:57:14.463000,3030.0550000000003,252.0,11539.0,6,100.0,False,0,9244.140546556344,11607.342243879877,1924.687651840751
0 days 00:00:48.643000,0 days 01:57:14.735000,3049.5567909740153,256.76,10835.2,6,100.0,False,0,9111.0,11531.0,1924.0
0 days 00:00:48.771000,0 days 01:57:14.863000,3058.832777777778,259.0,10504.0,6,100.0,False,0,9036.431319143468,11487.949627400994,1923.8465264447814
0 days 00:00:48.971000,0 days 01:57:15.063000,3073.443888888889,263.0,10655.0,7,100.0,False,0,8906.189782518517,11412.84368561879,1923.8607031224449
0 days 00:00:49.063000,0 days 01:57:15.155000,3080.2767034249046,264.96441325879874,10714.587202183562,7,100.0,False,0,8845.0,11378.0,1924.0
0 days 00:00:49.252000,0 days 01:57:15.344000,3094.440833333334,269.0,10837.0,7,100.0,False,0,8718.23682766278,11306.822519726302,1924.5583913302012
0 days 00:00:49.483000,0 days 01:57:15.575000,3111.6950624764936,269.0,10920.7375232,7,100.0,False,0,8559.0,11218.0,1925.0
0 days 00:00:49.492000,0 days 01:57:15.584000,3112.374166666667,269.0,10924.0,7,100.0,False,0,8552.637773668015,11214.43118939187,1924.9924092880606
0 days 00:00:49.772000,0 days 01:57:15.864000,3133.8408333333336,276.0,11190.0,7,100.0,False,0,8354.340233684123,11102.58107980271,1924.044981920576
0 days 00:00:49.883000,0 days 01:57:15.975000,3142.46319933989,277.5459616185472,11232.668540671904,7,100.0,False,0,8293.0,11068.0,1924.0
0 days 00:00:50.131000,0 days 01:57:16.223000,3161.8627777777783,281.0,11328.0,7,100.0,False,0,8202.160618117503,11016.974481092273,1925.3226825178442
0 days 00:00:50.243000,0 days 01:57:16.335000,3170.6479166201166,282.12,11377.84,7,100.0,False,0,8130.0,10975.0,1926.0
0 days 00:00:50.331000,0 days 01:57:16.423000,3177.585000000001,283.0,11417.0,7,100.0,False,0,8045.61697528723,10925.415321400691,1926.4142604408353
0 days 00:00:50.544000,0 days 01:57:16.636000,3194.5739017223145,285.95833244444447,11522.316635022222,7,99.40833351111111,False,0,7817.0,10790.0,1927.0
0 days 00:00:50.691000,0 days 01:57:16.783000,3206.385000000001,288.0,11595.0,7,99.0,False,0,7745.562096057458,10746.59724784788,1927.0776015504218
0 days 00:00:50.864000,0 days 01:57:16.956000,3220.3146663411335,289.29749952,11191.91014912,7,99.43249984,False,0,7695.0,10713.0,1927.0
0 days 00:00:51.091000,0 days 01:57:17.183000,3238.718333333334,291.0,10663.0,7,100.0,False,0,7560.004689522682,10621.693317721561,1926.9617067960694
0 days 00:00:51.164000,0 days 01:57:17.256000,3244.6903752995267,292.8249984,10634.7125248,7,100.0,False,0,7505.0,10583.0,1927.0
0 days 00:00:51.251000,0 days 01:57:17.343000,3251.829444444445,295.0,10601.0,8,100.0,False,0,7433.594127418312,10531.342607691395,1927.0622678788022
0 days 00:00:51.284000,0 days 01:57:17.376000,3254.5393155549905,295.13749973333336,10605.5374912,8,100.0,False,0,7404.0,10509.0,1927.0
0 days 00:00:51.491000,0 days 01:57:17.583000,3271.5627777777786,296.0,10634.0,8,100.0,False,0,7196.650605573783,10341.515763882198,1925.154465527424
0 days 00:00:51.504000,0 days 01:57:17.596000,3272.6334416122295,296.06499968,10639.13497472,8,100.0,False,0,7185.0,10332.0,1925.0
0 days 00:00:51.891000,0 days 01:57:17.983000,3304.6738888888895,298.0,10792.0,8,100.0,False,0,6946.005224564062,10138.871367794038,1919.5365134532246
0 days 00:00:51.924000,0 days 01:57:18.016000,3307.4357691489326,298.8249984,10813.8624576,8,100.0,False,0,6927.0,10123.0,1919.0
0 days 00:00:52.051000,0 days 01:57:18.143000,3318.096111111112,302.0,10898.0,8,100.0,False,0,6849.614321665529,10057.144964670424,1916.836830546244
0 days 00:00:52.291000,0 days 01:57:18.383000,3338.2294444444447,302.0,10843.0,8,100.0,False,0,6695.021406068768,9921.719817871748,1912.6013965989532
0 days 00:00:52.404000,0 days 01:57:18.496000,3347.7680121021076,303.0593744,10836.6437536,8,100.0,False,0,6635.0,9869.0,1911.0
0 days 00:00:52.611000,0 days 01:57:18.703000,3365.340555555556,305.0,10825.0,8,100.0,False,0,6547.710542613917,9792.650481628938,1908.7049135720972
0 days 00:00:52.704000,0 days 01:57:18.796000,3373.2589873087272,305.66428525714286,10875.817822171428,8,100.0,False,0,6494.0,9746.0,1907.0
0 days 00:00:52.891000,0 days 01:57:18.983000,3389.2183333333337,307.0,10978.0,8,100.0,False,0,6332.159155739318,9605.881360001124,1901.2698099880547
